respondent,dept,n,dept_en,dept_fr
Number of employees,075,428,National Energy Board,Office national de l'énergie
Number of respondents,075,228,National Energy Board,Office national de l'énergie
Number of staffing advisors,075,0,National Energy Board,Office national de l'énergie
Number of managers or supervisors,075,47,National Energy Board,Office national de l'énergie
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",075,25,National Energy Board,Office national de l'énergie
Number of employees,078,519,Canada School of Public Service,École de la fonction publique du Canada
Number of respondents,078,237,Canada School of Public Service,École de la fonction publique du Canada
Number of staffing advisors,078,5,Canada School of Public Service,École de la fonction publique du Canada
Number of managers or supervisors,078,89,Canada School of Public Service,École de la fonction publique du Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",078,60,Canada School of Public Service,École de la fonction publique du Canada
Number of employees,080,173,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada
Number of respondents,080,79,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada
Number of staffing advisors,080,1,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada
Number of managers or supervisors,080,30,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",080,14,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada
Number of employees,082,388,Infrastructure Canada,Infrastructure Canada
Number of respondents,082,176,Infrastructure Canada,Infrastructure Canada
Number of staffing advisors,082,1,Infrastructure Canada,Infrastructure Canada
Number of managers or supervisors,082,57,Infrastructure Canada,Infrastructure Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",082,46,Infrastructure Canada,Infrastructure Canada
Number of employees,083,12868,Canada Border Services Agency,Agence des services frontaliers du Canada
Number of respondents,083,5418,Canada Border Services Agency,Agence des services frontaliers du Canada
Number of staffing advisors,083,32,Canada Border Services Agency,Agence des services frontaliers du Canada
Number of managers or supervisors,083,1136,Canada Border Services Agency,Agence des services frontaliers du Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",083,361,Canada Border Services Agency,Agence des services frontaliers du Canada
Number of employees,091,480,Administrative Tribunals Support Service of Canada,Service canadien d’appui aux tribunaux administratifs
Number of respondents,091,233,Administrative Tribunals Support Service of Canada,Service canadien d’appui aux tribunaux administratifs
Number of staffing advisors,091,2,Administrative Tribunals Support Service of Canada,Service canadien d’appui aux tribunaux administratifs
Number of managers or supervisors,091,63,Administrative Tribunals Support Service of Canada,Service canadien d’appui aux tribunaux administratifs
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",091,37,Administrative Tribunals Support Service of Canada,Service canadien d’appui aux tribunaux administratifs
Number of employees,093,207,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
Number of respondents,093,110,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
Number of staffing advisors,093,5,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
Number of managers or supervisors,093,34,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",093,16,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
Number of employees,094,5290,Shared Services Canada,Services partagés Canada
Number of respondents,094,2540,Shared Services Canada,Services partagés Canada
Number of staffing advisors,094,15,Shared Services Canada,Services partagés Canada
Number of managers or supervisors,094,886,Shared Services Canada,Services partagés Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",094,473,Shared Services Canada,Services partagés Canada
Number of employees,097,21,Office of the Commissioner of Canada Elections,Bureau du commissaire aux élections fédérales
Number of respondents,097,12,Office of the Commissioner of Canada Elections,Bureau du commissaire aux élections fédérales
Number of staffing advisors,097,0,Office of the Commissioner of Canada Elections,Bureau du commissaire aux élections fédérales
Number of managers or supervisors,097,3,Office of the Commissioner of Canada Elections,Bureau du commissaire aux élections fédérales
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",097,3,Office of the Commissioner of Canada Elections,Bureau du commissaire aux élections fédérales
Number of employees,098,407,Office of the Superintendent of Bankruptcy of Canada,Bureau du surintendant des faillites Canada
Number of respondents,098,202,Office of the Superintendent of Bankruptcy of Canada,Bureau du surintendant des faillites Canada
Number of staffing advisors,098,0,Office of the Superintendent of Bankruptcy of Canada,Bureau du surintendant des faillites Canada
Number of managers or supervisors,098,43,Office of the Superintendent of Bankruptcy of Canada,Bureau du surintendant des faillites Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",098,23,Office of the Superintendent of Bankruptcy of Canada,Bureau du surintendant des faillites Canada
Number of employees,101,25,Military Police Complaints Commission of Canada,Commission d’examen des plaintes concernant la police militaire du Canada
Number of respondents,101,14,Military Police Complaints Commission of Canada,Commission d’examen des plaintes concernant la police militaire du Canada
Number of staffing advisors,101,0,Military Police Complaints Commission of Canada,Commission d’examen des plaintes concernant la police militaire du Canada
Number of managers or supervisors,101,6,Military Police Complaints Commission of Canada,Commission d’examen des plaintes concernant la police militaire du Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",101,3,Military Police Complaints Commission of Canada,Commission d’examen des plaintes concernant la police militaire du Canada
Number of employees,103,21,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
Number of respondents,103,10,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
Number of staffing advisors,103,0,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
Number of managers or supervisors,103,3,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",103,2,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
Number of employees,105,13,Copyright Board of Canada,Commission du droit d'auteur du Canada
Number of respondents,105,9,Copyright Board of Canada,Commission du droit d'auteur du Canada
Number of staffing advisors,105,0,Copyright Board of Canada,Commission du droit d'auteur du Canada
Number of managers or supervisors,105,3,Copyright Board of Canada,Commission du droit d'auteur du Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",105,2,Copyright Board of Canada,Commission du droit d'auteur du Canada
Number of employees,107,34,International Joint Commission,Commission mixte internationale
Number of respondents,107,16,International Joint Commission,Commission mixte internationale
Number of staffing advisors,107,0,International Joint Commission,Commission mixte internationale
Number of managers or supervisors,107,7,International Joint Commission,Commission mixte internationale
